hduser@mariaps1:/usr/local/hadoop$ hadoop fs -cat population-mariaps12/part*
Warning: $HADOOP_HOME is deprecated.

AL	976020
AK	431257
AZ	1204530
AR	950931
CA	6002971
CO	873909
CT	1984178
DE	546076
FL	2544990
GA	1677957
ID	789284
IL	6912550
IN	1141832
IA	653331
KS	228101
KY	939770
LA	2063725
ME	520099
MD	1397366
MA	1573328
MI	3737568
MN	732411
MS	688453
MO	876563
MT	471462
NE	537608
NV	2060563
NH	743816
NJ	2251755
NM	502325
NY	6502678
NC	2468453
ND	78067
OH	2988662
OK	1112369
OR	1121471
PA	3737216
SC	1208462
SD	162239
TN	1949134
TX	3480075
UT	767179
VT	300055
VA	2987860
WA	1384802
WV	445322
WI	717728
WY	147682
AL	1137816
AK	128440
AZ	514228
AR	512753
CA	5153468
CO	1942430
CT	151539
DC	632323
FL	8060314
GA	2703163
HI	347507
ID	219923
IL	2615702
IN	1031248
IA	487687
KS	420086
KY	910206
LA	712854
ME	296154
MD	1259641
MA	241633
MI	2028057
MN	2716002
MS	611018
MO	2785247
MT	289107
NE	349038
NV	124149
NH	226359
NJ	2814614
NM	350077
NY	4509470
NC	3839925
ND	397005
OH	3096114
OK	739520
OR	827104
PA	2886210
RI	257126
SC	1044761
SD	164507
TN	1944475
TX	3656890
UT	1499060
VT	100281
VA	1689957
WA	1184599
WV	609312
WI	1343868
WY	86731
AL	944605
AK	64663
AZ	4049263
AR	689892
CA	19608520
CO	1779580
CT	1062861
DE	371016
FL	1945378
GA	2696480
ID	226312
IL	1445320
IN	1497556
IA	744229
KS	1128820
KY	1807251
LA	1414300
ME	203160
MD	1778432
MA	2828045
MI	2843411
MN	1026638
MS	800266
MO	566533
MT	192659
NE	689322
NV	121858
NH	270880
NJ	3010584
NM	123528
NY	7036548
NC	1763324
ND	46049
OH	1979528
OK	1463545
OR	830323
PA	3563233
SC	995769
SD	394179
TN	832985
TX	7443336
UT	207736
VT	189768
VA	1168112
WA	3089330
WV	352252
WI	2208403
WY	237730
AL	1763582
AK	107089
AZ	785234
AR	795555
CA	7276471
CO	591663
CT	391769
FL	6766886
GA	2842345
HI	1044806
ID	360209
IL	1901683
IN	2866698
IA	1188939
KS	1108898
KY	723188
LA	411014
ME	309779
MD	1449124
MA	2003138
MI	1274324
MN	904088
MS	885189
MO	1793645
MT	51913
NE	279557
NV	452361
NH	79663
NJ	787637
NM	1109608
NY	1521565
NC	1680371
ND	178507
OH	3479921
OK	499386
OR	1120455
PA	2576877
RI	793166
SC	1474731
SD	112429
TN	1729649
TX	11478902
UT	381312
VT	35907
VA	2339938
WA	1238281
WV	448527
WI	1456399
WY	104269
